Order Date,Category,Sub-Category,Sales,Quantity
2014-01-03,Office Supplies,Paper,16.448,2.0
2014-01-04,Office Supplies,Labels,11.784,3.0
2014-01-04,Office Supplies,Binders,3.539999999999999,2.0
2014-01-04,Office Supplies,Paper,0.0,0.0
2014-01-04,Office Supplies,Storage,272.736,3.0
2014-01-05,Office Supplies,Labels,0.0,0.0
2014-01-05,Office Supplies,Binders,0.0,0.0
2014-01-05,Office Supplies,Paper,0.0,0.0
2014-01-05,Office Supplies,Art,19.536,3.0
2014-01-05,Office Supplies,Storage,0.0,0.0
2014-01-06,Office Supplies,Fasteners,31.12,4.0
2014-01-06,Furniture,Chairs,2573.82,9.0
2014-01-06,Office Supplies,Art,18.259999999999998,5.0
2014-01-06,Office Supplies,Labels,0.0,0.0
2014-01-06,Office Supplies,Storage,0.0,0.0
2014-01-06,Office Supplies,Paper,25.98,4.0
2014-01-06,Technology,Phones,1147.94,6.0
2014-01-06,Office Supplies,Binders,609.98,2.0
2014-01-07,Furniture,Chairs,0.0,0.0
2014-01-07,Furniture,Furnishings,76.72800000000001,3.0
2014-01-07,Office Supplies,Binders,10.429999999999998,7.0
2014-01-07,Office Supplies,Storage,0.0,0.0
2014-01-07,Office Supplies,Art,0.0,0.0
2014-01-07,Office Supplies,Paper,0.0,0.0
2014-01-07,Office Supplies,Fasteners,0.0,0.0
2014-01-07,Technology,Phones,0.0,0.0
2014-01-07,Office Supplies,Labels,0.0,0.0
2014-01-08,Technology,Phones,0.0,0.0
2014-01-08,Office Supplies,Paper,0.0,0.0
2014-01-08,Furniture,Chairs,0.0,0.0
2014-01-08,Furniture,Furnishings,0.0,0.0
2014-01-08,Office Supplies,Binders,0.0,0.0
2014-01-08,Office Supplies,Storage,0.0,0.0
2014-01-08,Office Supplies,Fasteners,0.0,0.0
2014-01-08,Office Supplies,Labels,0.0,0.0
2014-01-08,Office Supplies,Art,0.0,0.0
2014-01-09,Technology,Phones,0.0,0.0
2014-01-09,Office Supplies,Fasteners,0.0,0.0
2014-01-09,Office Supplies,Art,9.344,2.0
2014-01-09,Technology,Accessories,31.200000000000003,3.0
2014-01-09,Office Supplies,Paper,0.0,0.0
2014-01-09,Office Supplies,Storage,0.0,0.0
2014-01-09,Furniture,Chairs,0.0,0.0
2014-01-09,Office Supplies,Binders,0.0,0.0
2014-01-09,Office Supplies,Labels,0.0,0.0
2014-01-09,Furniture,Furnishings,0.0,0.0
2014-01-10,Office Supplies,Binders,0.0,0.0
2014-01-10,Technology,Accessories,0.0,0.0
2014-01-10,Office Supplies,Labels,2.89,1.0
2014-01-10,Furniture,Furnishings,51.94,1.0
2014-01-10,Office Supplies,Storage,0.0,0.0
2014-01-10,Technology,Phones,0.0,0.0
2014-01-10,Office Supplies,Fasteners,0.0,0.0
2014-01-10,Furniture,Chairs,0.0,0.0
2014-01-10,Office Supplies,Art,0.0,0.0
2014-01-10,Office Supplies,Paper,0.0,0.0
2014-01-11,Office Supplies,Paper,0.0,0.0
2014-01-11,Furniture,Furnishings,9.94,2.0
2014-01-11,Office Supplies,Fasteners,0.0,0.0
2014-01-11,Furniture,Chairs,0.0,0.0
2014-01-11,Office Supplies,Binders,0.0,0.0
2014-01-11,Technology,Phones,0.0,0.0
2014-01-11,Office Supplies,Storage,0.0,0.0
2014-01-11,Technology,Accessories,0.0,0.0
2014-01-11,Office Supplies,Art,0.0,0.0
2014-01-11,Office Supplies,Labels,0.0,0.0
2014-01-12,Office Supplies,Art,0.0,0.0
2014-01-12,Technology,Phones,0.0,0.0
2014-01-12,Office Supplies,Binders,0.0,0.0
2014-01-12,Furniture,Furnishings,0.0,0.0
2014-01-12,Office Supplies,Paper,0.0,0.0
2014-01-12,Furniture,Chairs,0.0,0.0
2014-01-12,Office Supplies,Fasteners,0.0,0.0
2014-01-12,Office Supplies,Storage,0.0,0.0
2014-01-12,Office Supplies,Labels,0.0,0.0
2014-01-12,Technology,Accessories,0.0,0.0
2014-01-13,Office Supplies,Labels,0.0,0.0
2014-01-13,Furniture,Bookcases,333.99899999999997,3.0
2014-01-13,Technology,Phones,0.0,0.0
2014-01-13,Office Supplies,Paper,37.408,7.0
2014-01-13,Office Supplies,Binders,9.078,5.0
2014-01-13,Office Supplies,Fasteners,0.0,0.0
2014-01-13,Furniture,Chairs,545.9399999999999,6.0
2014-01-13,Office Supplies,Envelopes,62.3,5.0
2014-01-13,Office Supplies,Art,19.9,5.0
2014-01-13,Office Supplies,Storage,1898.4300000000003,11.0
2014-01-13,Technology,Accessories,646.74,6.0
2014-01-13,Furniture,Furnishings,0.0,0.0
2014-01-14,Office Supplies,Fasteners,0.0,0.0
2014-01-14,Office Supplies,Envelopes,0.0,0.0
2014-01-14,Technology,Accessories,0.0,0.0
2014-01-14,Office Supplies,Binders,0.0,0.0
2014-01-14,Technology,Phones,0.0,0.0
2014-01-14,Furniture,Chairs,0.0,0.0
2014-01-14,Furniture,Bookcases,61.96,4.0
2014-01-14,Furniture,Furnishings,0.0,0.0
2014-01-14,Office Supplies,Storage,0.0,0.0
2014-01-14,Office Supplies,Art,0.0,0.0
2014-01-14,Office Supplies,Paper,0.0,0.0
2014-01-14,Office Supplies,Labels,0.0,0.0
2014-01-15,Technology,Accessories,149.95,5.0
2014-01-15,Furniture,Bookcases,0.0,0.0
2014-01-15,Office Supplies,Storage,0.0,0.0
2014-01-15,Office Supplies,Envelopes,0.0,0.0
2014-01-15,Office Supplies,Art,0.0,0.0
2014-01-15,Furniture,Chairs,0.0,0.0
2014-01-15,Office Supplies,Fasteners,0.0,0.0
2014-01-15,Office Supplies,Labels,0.0,0.0
